2023-10-18T13:43:20.429132Z  INFO term: starting
2023-10-18T13:43:45.168762Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.202675Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.235977Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.269230Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.302708Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.335948Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.369447Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.403116Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.436276Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.469385Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.486567Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.519685Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.536263Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.586859Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.619664Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.653606Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.670618Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.702949Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.719891Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.753426Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.787517Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
